spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
safe,0.1322369170760726,0.014603127789418554,0.10361531254717624,0.16085852160496897,1.9133662535988048e-19,34,jensen_full_like,0.1112,0.4772,5000,10000
full,0.12624901146077838,0.014598549623383241,0.09763637997242647,0.1548616429491303,6.961544735074e-18,34,jensen_full_like,0.1112,0.4772,5000,10000
base,0.1333810181963162,0.014242442582594895,0.10546634368255059,0.16129569271008182,1.1215916064923313e-20,35,jensen_full_like,0.1112,0.4736,5000,10000
tvc,0.11487459599310888,0.014386014222310983,0.08667852623629838,0.1430706657499194,1.7277514032594043e-15,35,jensen_full_like,0.1112,0.4736,5000,10000
safe,0.1037880637323883,0.014667164558896504,0.07504094944162885,0.13253517802314774,1.6862270159796601e-12,35,jensen_full_like,0.1112,0.4736,5000,10000
full,0.0928230854017302,0.014729836007994435,0.06395313732787988,0.12169303347558053,3.196625250964926e-10,35,jensen_full_like,0.1112,0.4736,5000,10000
base,0.12610558262515342,0.014568856179730319,0.09755114921693821,0.15466001603336865,6.509154277571274e-18,36,jensen_full_like,0.1112,0.4724,5000,10000
tvc,0.11089441716461283,0.014600499287444146,0.08227796440491959,0.13951086992430609,3.644390186471095e-14,36,jensen_full_like,0.1112,0.4724,5000,10000
safe,0.0933106347228262,0.01475345582478271,0.06439439265874942,0.12222687678690299,2.758981767228497e-10,36,jensen_full_like,0.1112,0.4724,5000,10000
full,0.0855922101221378,0.01474695770674194,0.05668870413538822,0.11449571610888738,6.8718523352578055e-9,36,jensen_full_like,0.1112,0.4724,5000,10000
base,0.13842973539855183,0.01405441328146616,0.11088359154303676,0.1659758792540669,1.1062313173005926e-22,37,jensen_full_like,0.1112,0.4756,5000,10000
tvc,0.12799467772765652,0.01408904045576351,0.10038066585763225,0.1556086895976808,1.468404144522751e-19,37,jensen_full_like,0.1112,0.4756,5000,10000
safe,0.11027738515549712,0.014381515498857194,0.08209013273463243,0.1384646375763618,2.0860850617698477e-14,37,jensen_full_like,0.1112,0.4756,5000,10000
full,0.10441192728081151,0.014403355558017531,0.07618186913057234,0.13264198543105069,4.835826979113161e-13,37,jensen_full_like,0.1112,0.4756,5000,10000
base,0.14334761415951472,0.014234981721092145,0.11544756266558813,0.1712476656534413,1.2566843334336614e-23,38,jensen_full_like,0.1112,0.4774,5000,10000
tvc,0.12655870526157637,0.014283561764947762,0.09856343863132538,0.15455397189182735,1.089631319463365e-18,38,jensen_full_like,0.1112,0.4774,5000,10000
safe,0.10982334751170829,0.01447927743292141,0.08144448522101877,0.1382022098023978,3.9448799741206474e-14,38,jensen_full_like,0.1112,0.4774,5000,10000
full,0.10059769591828664,0.01446642158253423,0.07224403063134663,0.12895136120522666,4.010812439646964e-12,38,jensen_full_like,0.1112,0.4774,5000,10000
base,0.15333067606028644,0.014169608609023977,0.12555875351157075,0.18110259860900213,5.434771840564708e-27,39,jensen_full_like,0.1112,0.478,5000,10000
tvc,0.14012360848489927,0.014205070069680642,0.11228218275045734,0.1679650342193412,9.575243784459691e-23,39,jensen_full_like,0.1112,0.478,5000,10000
safe,0.12652981938355648,0.014573535097857696,0.09796621546432499,0.15509342330278797,5.183133274216637e-18,39,jensen_full_like,0.1112,0.478,5000,10000
full,0.11898783543950008,0.014559871177723963,0.09045101231161834,0.1475246585673818,3.798870873057024e-16,39,jensen_full_like,0.1112,0.478,5000,10000
